path,component,coverage,evidence
.github/workflows/production-evidence.yml,CI/release automation,modified or added by remediation overlay,Included in static/test/package verification where applicable
PRODUCTION_READINESS_REPORT.md,repository root,modified or added by remediation overlay,Included in static/test/package verification where applicable
RELEASE_MANIFEST.json,repository root,modified or added by remediation overlay,Included in static/test/package verification where applicable
THIRD_PARTY_NOTICES.md,repository root,modified or added by remediation overlay,Included in static/test/package verification where applicable
android/app/build.gradle.kts,Android,modified or added by remediation overlay,Included in static/test/package verification where applicable
android/app/src/main/AndroidManifest.xml,Android,modified or added by remediation overlay,Included in static/test/package verification where applicable
android/app/src/main/java/io/godstone/app/GodstoneApplication.kt,Android,modified or added by remediation overlay,Included in static/test/package verification where applicable
android/app/src/main/java/io/godstone/app/MainActivity.kt,Android,modified or added by remediation overlay,Included in static/test/package verification where applicable
android/app/src/main/java/io/godstone/app/di/AppModule.kt,Android,modified or added by remediation overlay,Included in static/test/package verification where applicable
android/app/src/main/java/io/godstone/app/ui/GodstoneNavHost.kt,Android,modified or added by remediation overlay,Included in static/test/package verification where applicable
android/app/src/main/java/io/godstone/app/ui/home/HomeScreen.kt,Android,modified or added by remediation overlay,Included in static/test/package verification where applicable
android/app/src/main/java/io/godstone/app/ui/oracle/OracleViewModel.kt,Android,modified or added by remediation overlay,Included in static/test/package verification where applicable
android/core/src/main/java/io/godstone/core/crypto/Ed25519Keys.kt,Android,modified or added by remediation overlay,Included in static/test/package verification where applicable
android/core/src/main/java/io/godstone/core/crypto/X25519Keys.kt,Android,modified or added by remediation overlay,Included in static/test/package verification where applicable
android/gradle/wrapper/gradle-wrapper.properties,Android,modified or added by remediation overlay,Included in static/test/package verification where applicable
android/gradle.properties,Android,modified or added by remediation overlay,Included in static/test/package verification where applicable
android/llm/src/main/java/io/godstone/llm/rag/AnswerValidator.kt,Android,modified or added by remediation overlay,Included in static/test/package verification where applicable
android/llm/src/main/java/io/godstone/llm/rag/RagPipeline.kt,Android,modified or added by remediation overlay,Included in static/test/package verification where applicable
android/llm/src/test/java/io/godstone/llm/rag/AnswerValidatorTest.kt,Android,modified or added by remediation overlay,Included in static/test/package verification where applicable
ci/__pycache__/check_content_release_integration.cpython-313.pyc,CI/release automation,modified or added by remediation overlay,Included in static/test/package verification where applicable
ci/__pycache__/check_oracle_private_draft.cpython-313.pyc,CI/release automation,modified or added by remediation overlay,Included in static/test/package verification where applicable
ci/__pycache__/check_release_surface.cpython-313.pyc,CI/release automation,modified or added by remediation overlay,Included in static/test/package verification where applicable
ci/__pycache__/check_repository.cpython-313.pyc,CI/release automation,modified or added by remediation overlay,Included in static/test/package verification where applicable
ci/__pycache__/no_legacy_wire.cpython-313.pyc,CI/release automation,modified or added by remediation overlay,Included in static/test/package verification where applicable
ci/__pycache__/no_release_bypasses.cpython-313.pyc,CI/release automation,modified or added by remediation overlay,Included in static/test/package verification where applicable
ci/check_content_release_integration.py,CI/release automation,modified or added by remediation overlay,Included in static/test/package verification where applicable
ci/check_oracle_private_draft.py,CI/release automation,modified or added by remediation overlay,Included in static/test/package verification where applicable
ci/check_release_surface.py,CI/release automation,modified or added by remediation overlay,Included in static/test/package verification where applicable
ci/check_repository.py,CI/release automation,modified or added by remediation overlay,Included in static/test/package verification where applicable
ci/no_legacy_wire.py,CI/release automation,modified or added by remediation overlay,Included in static/test/package verification where applicable
ci/no_release_bypasses.py,CI/release automation,modified or added by remediation overlay,Included in static/test/package verification where applicable
content/__pycache__/archive_manifest.cpython-313.pyc,content/archive safety,modified or added by remediation overlay,Included in static/test/package verification where applicable
content/__pycache__/release_gate.cpython-313.pyc,content/archive safety,modified or added by remediation overlay,Included in static/test/package verification where applicable
content/archive_manifest.py,content/archive safety,modified or added by remediation overlay,Included in static/test/package verification where applicable
content/manifests/README.md,content/archive safety,modified or added by remediation overlay,Included in static/test/package verification where applicable
content/manifests/examples/document-manifest.example.yaml,content/archive safety,modified or added by remediation overlay,Included in static/test/package verification where applicable
